window_length,n_rows,n_cols,output_path,duration_sec
10,9681,46,./dataset/WTI-CEEMDAN-FE-n10.csv,0.7675201892852783
20,9671,86,./dataset/WTI-CEEMDAN-FE-n20.csv,1.489919900894165
