Model,SHAP_t-9,IG_t-9,SHAP_t-8,IG_t-8,SHAP_t-7,IG_t-7,SHAP_t-6,IG_t-6,SHAP_t-5,IG_t-5,SHAP_t-4,IG_t-4,SHAP_t-3,IG_t-3,SHAP_t-2,IG_t-2,SHAP_t-1,IG_t-1,SHAP_t-0,IG_t-0
RNN,0.0006394722575714736,0.0011259281,0.0017818252900911333,0.004948915,0.0036121479739276356,0.00761934,0.0017702122900576903,0.0038417315,0.005598830963850715,0.011608327,0.006860194920345791,0.016208503,0.005738631525992913,0.010350887,0.029326908705140684,0.06886218,0.0950372430368292,0.2219843,0.12746093603217404,0.31833488
LSTM,0.0037442226229929126,0.009948677,0.006097692525979493,0.015762117,0.00752756053158026,0.018692976,0.006582362743295445,0.015953049,0.003641686353268898,0.009963092,0.005386166434164447,0.016718948,0.01729277278799477,0.04409933,0.04186752462190526,0.09149167,0.07211039024502786,0.14886937,0.1085237659152745,0.23601335
BiLSTM,0.0004517943725744283,0.0008809702,0.000876491232531155,0.0018911299,0.0016236487565459853,0.0035316937,0.0028940236248548613,0.0062913727,0.005067773384544013,0.011366007,0.009132346508505062,0.020992383,0.016527713616297308,0.037701286,0.030259271861169806,0.06774452,0.054615454186916976,0.12508538,0.14562791570735234,0.33025658
GRU,0.008530298639063974,0.016619653,0.0093166675569819,0.019200956,0.010303346558259709,0.019326337,0.010279330236611574,0.016290437,0.009212543068194167,0.013066462,0.010039076865574656,0.018948063,0.01884757828113602,0.046614565,0.0379284097255421,0.09067902,0.06446003134416851,0.1555226,0.09380711138348109,0.23510428
TCN,5.945527602494762e-05,5.0985923e-06,7.812100492798125e-05,4.6858045e-06,5.765405351147405e-05,2.8944655e-06,0.00011665359236637642,1.0287709e-05,4.513067207239196e-05,4.8964007e-06,0.0018314802120297426,0.018711595,0.003141613085739675,0.023380762,0.0027345912718791704,0.05838733,0.002807862273539008,0.012780691,0.2629849185739012,0.4935062
Transformer,0.016204823478716154,0.036289494,0.016261950904406214,0.036372162,0.018626709239947567,0.039566383,0.020730782360241458,0.041963693,0.021317996384501957,0.04287939,0.02088634268364349,0.043026485,0.021942895026291143,0.047039486,0.028846577536632827,0.06304762,0.04674231678283641,0.10258474,0.07482136534022875,0.1576192
Informer,0.01649991824217695,0.038110744,0.01618337782994502,0.036875643,0.016595985487189515,0.036922455,0.017583361418630764,0.039274633,0.018611264679295733,0.04272698,0.019567349689680567,0.04570481,0.024051534708331684,0.055238508,0.03268080787622165,0.073084354,0.04757441839526656,0.103085786,0.06356955534496012,0.13380726
