Model,SHAP_Trend,IG_Trend,SHAP_IMF_Group1,IG_IMF_Group1,SHAP_IMF_Group2,IG_IMF_Group2,SHAP_Residual,IG_Residual
MLP,0.20058957811775444,0.34142247,0.029962892258449475,0.06005876,0.019933886526330012,0.027164482,0.003228243097990395,0.0014369569
RNN,0.20920994231784665,0.4776253,0.037596247816230825,0.1057622,0.024250154359723056,0.07926004,0.006770058502180728,0.0022372461
LSTM,0.20589675434756186,0.4414189,0.037175074291424054,0.09092931,0.022137294414546635,0.07355731,0.007565021727951176,0.0016069486
BiLSTM,0.20602691382562147,0.45565182,0.03227538081830492,0.07461462,0.02202969908705845,0.07301086,0.006744439520307275,0.002464114
GRU,0.20960119269722782,0.4608747,0.03658286205705395,0.10148371,0.02156085395583871,0.066563554,0.004979484948893316,0.0024505313
TCN,0.2094671186399991,0.43345544,0.034739613837559497,0.085708514,0.02125621706178274,0.07613709,0.008394530476650617,0.011493507
Transformer,0.21242357810337073,0.44157827,0.040452894471198944,0.09538605,0.026101651056579914,0.071197316,0.0074036361062963674,0.002226951
Informer,0.2085947724077767,0.45192462,0.03700746065967817,0.09471384,0.019552856209479524,0.055538837,0.00776248439476428,0.0026540544
