split,model,feature_concentration_shap,timestep_concentration_shap,MAE,RMSE
test,MLP,0.5362174321856098,,2.353996992111206,3.1026737689971924
test,RNN,0.4533463672598037,0.3574105190744451,1.2050803899765015,1.7002127170562744
test,LSTM,0.46223806860498307,0.16517370165438006,1.5018835067749023,1.957952857017517
test,BiLSTM,0.4707652092025465,0.3686942999653128,1.2938599586486816,1.8357212543487549
test,GRU,0.4376138607547364,0.06584786490190331,1.437099814414978,1.963671326637268
test,TCN,0.471364474353976,0.8969687326667594,1.2442512512207031,1.8106180429458618
test,Transformer,0.42025860810020355,0.0379935979180106,1.541709303855896,2.016345262527466
test,Informer,0.43998944744985546,0.016319499499418688,1.5896164178848267,2.0965960025787354
